Ket	Fre	Huffman_code
-1	2307679	(648, 1152, 4)
0	8248	0000010
1	16145	000000
2	2522	001111110
3	1413	0110000010
4	1240	0011111001
5	1091	0011001001
6	966	01110101001
7	925	01101110111
8	911	01101110011
9	891	01101101111
10	878	01101100001
11	839	01101010011
12	884	01101101000
13	908	01101110010
14	939	01110100100
15	937	01110100011
16	977	01110101011
17	1011	01110110101
18	960	01110101000
19	1075	0000011111
20	1141	0011011000
21	1292	0101001010
22	1664	0110100011
23	2394	001110001
24	5084	01010000
25	8450	0000111
26	8013	01110111
27	4476	00110011
28	2646	010101100
29	4520	00110101
30	5289	01010101
31	3182	011001111
32	1552	0110011001
33	1175	0011011100
34	1037	0000011100
35	1027	0000011001
36	1022	0000011000
37	1014	01110110111
38	1066	0000011110
39	1225	0011110010
40	1779	0110110110
41	2627	010101000
42	3525	011011001
43	5117	01010001
44	8417	0000110
45	32468	011111
46	4914	00111101
47	6674	01101001
48	32277	011110
49	1671	0110101000
50	1548	0110011000
51	1286	0101001001
52	1277	0011111110
53	1242	0011111010
54	1217	0011110001
55	1313	0101010010
56	1296	0101001011
57	1704	0110101011
58	1748	0110101111
59	1382	0101011110
60	982	01110110001
61	928	01110100000
62	741	01100010111
63	706	01100000010
64	559	00110010101
65	489	011101100000
66	488	011101010101
67	490	011101100001
68	521	00000111010
69	600	00111000011
70	763	01100101100
71	933	01110100010
72	792	01100111001
73	609	00111100001
74	369	011000001111
75	265	000001110111
76	211	0110101010001
77	215	0110101110001
78	191	0110010010101
79	172	0101011101100
80	166	0101011011001
81	186	0110000011101
82	186	0110010010100
83	166	0101011011010
84	162	0011111111101
85	147	0011011010110
86	152	0011110000010
87	158	0011111000011
88	178	0110000011000
89	175	0101011111101
90	152	0011110000011
91	142	0011001010011
92	164	0101010011010
93	160	0011111111100
94	154	0011111000010
95	135	0011001010010
96	163	0101010011000
97	147	0011011010111
98	163	0101010011001
99	165	0101011011000
100	175	0110000001100
101	172	0101011101101
102	193	0110011100000
103	179	0110000011100
104	173	0101011111100
105	178	0110000011001
106	192	0110010110110
107	177	0110000001101
108	166	0101011011011
109	200	0110011101100
110	164	0101010011011
111	192	0110010110111
112	214	0110101101001
113	203	0110011101110
114	202	0110011101101
115	214	0110101110000
116	210	0110101010000
117	233	0111010000101
118	236	0111010011000
119	248	0111011010000
120	271	001100100011
121	275	001100101000
122	294	001101101010
123	302	001111000000
124	318	001111111101
125	354	011000000111
126	351	011000000010
127	345	010101110111
128	352	011000000011
129	334	010101101110
130	349	010101111111
131	369	011000101100
132	326	001111111111
133	350	011000000001
134	335	010101101111
135	340	010101110100
136	411	011010001001
137	374	011001001000
138	370	011000101101
139	373	011001000011
140	442	011011011100
141	433	011010111001
142	505	011101101100
143	593	00110111101
144	799	01100111010
145	879	01101100010
146	880	01101100011
147	591	00110111100
148	455	011011100011
149	377	011001001001
150	314	001111111100
151	343	010101110101
152	283	001100101111
153	259	000001110110
154	254	0111011011011
155	251	0111011010001
156	217	0110110000010
157	225	0110110111011
158	226	0110111000101
159	256	000001101001
160	252	0111011011010
161	229	0111010000100
162	222	0110110111010
163	234	0111010000110
164	212	0110101101000
165	193	0110011100001
166	240	0111010011001
167	218	0110110000011
168	242	0111010101000
169	225	0110111000100
170	234	0111010000111
171	204	0110011101111
172	245	0111010101001
173	254	000001101000
174	270	001100100010
175	305	001111100000
176	280	001100101110
177	349	011000000000
178	429	011010110101
179	561	00110010110
180	599	00111000010
181	744	01100100000
182	942	01110100101
183	1179	0011011101
184	1464	0110001000
185	1987	0111011001
186	3900	011101011
187	7383	01101111
188	66913	0001
189	1714	0110101100
190	1141	0011011001
191	955	01110100111
192	778	01100101111
193	690	01010111110
194	573	00110110100
195	520	00000110101
196	477	011101001101
197	416	011010100100
198	435	011011000000
199	380	011001001011
200	372	011001000010
201	395	011001110001
202	362	011000001101
203	382	011001011010
204	421	011010100101
205	409	011010001000
206	425	011010101001
207	501	011101101001
208	536	00110010000
209	662	01010100111
210	768	01100101110
211	865	01101011101
212	1273	0011111011
213	1478	0110001010
214	1173	0011011011
215	918	01101110110
216	855	01101010101
217	861	01101011011
218	825	01101000101
219	887	01101101001
220	1185	0011011111
221	1528	0110010011
222	3132	011001101
223	5597	01011011
224	30594	011100
225	1187	0011100000
226	1492	0110010001
227	2399	001110010
228	5219	01010011
229	8754	0011000
230	69018	0010
231	1773	0110110101
232	1325	0101011010
233	1369	0101011100
234	3055	011001010
235	5724	01100001
236	5586	01011010
237	10841	0101100
238	738	01100010011
239	618	00111110001
240	611	00111100110
241	615	00111100111
242	736	01100010010
243	892	01101110000
244	1036	0000011011
245	1282	0101001000
246	1831	0110111010
247	2412	001110011
248	3306	011010000
249	4517	00110100
250	6003	01100011
251	9740	0011101
252	16778	000010
253	83851	0100
254	22553	010111
255	2307679	1
