Ket	Huffman_code
1	000000
0	0000010
36	0000011000
35	0000011001
173	000001101000
159	000001101001
195	00000110101
244	0000011011
34	0000011100
68	00000111010
153	000001110110
75	000001110111
38	0000011110
19	0000011111
252	000010
44	0000110
25	0000111
188	0001
230	0010
229	0011000
208	00110010000
174	001100100010
120	001100100011
5	0011001001
121	001100101000
95	0011001010010
91	0011001010011
64	00110010101
179	00110010110
176	001100101110
152	001100101111
27	00110011
249	00110100
29	00110101
20	0011011000
190	0011011001
194	00110110100
122	001101101010
85	0011011010110
97	0011011010111
214	0011011011
33	0011011100
183	0011011101
147	00110111100
143	00110111101
220	0011011111
225	0011100000
180	00111000010
69	00111000011
23	001110001
227	001110010
247	001110011
251	0011101
123	001111000000
86	0011110000010
90	0011110000011
73	00111100001
54	0011110001
39	0011110010
240	00111100110
241	00111100111
46	00111101
175	001111100000
94	0011111000010
87	0011111000011
239	00111110001
4	0011111001
53	0011111010
212	0011111011
2	001111110
52	0011111110
150	001111111100
124	001111111101
93	0011111111100
84	0011111111101
132	001111111111
253	0100
24	01010000
43	01010001
245	0101001000
51	0101001001
21	0101001010
56	0101001011
228	01010011
41	010101000
55	0101010010
96	0101010011000
98	0101010011001
92	0101010011010
110	0101010011011
209	01010100111
30	01010101
28	010101100
232	0101011010
99	0101011011000
80	0101011011001
83	0101011011010
108	0101011011011
129	010101101110
134	010101101111
233	0101011100
135	010101110100
151	010101110101
79	0101011101100
101	0101011101101
127	010101110111
59	0101011110
193	01010111110
104	0101011111100
89	0101011111101
130	010101111111
237	0101100
236	01011010
223	01011011
254	010111
177	011000000000
133	011000000001
126	011000000010
128	011000000011
63	01100000010
100	0110000001100
107	0110000001101
125	011000000111
3	0110000010
88	0110000011000
105	0110000011001
202	011000001101
103	0110000011100
81	0110000011101
74	011000001111
235	01100001
184	0110001000
242	01100010010
238	01100010011
213	0110001010
131	011000101100
138	011000101101
62	01100010111
250	01100011
181	01100100000
200	011001000010
139	011001000011
226	0110010001
137	011001001000
149	011001001001
82	0110010010100
78	0110010010101
199	011001001011
221	0110010011
234	011001010
70	01100101100
203	011001011010
106	0110010110110
111	0110010110111
210	01100101110
192	01100101111
50	0110011000
32	0110011001
222	011001101
102	0110011100000
165	0110011100001
201	011001110001
72	01100111001
144	01100111010
109	0110011101100
114	0110011101101
113	0110011101110
171	0110011101111
31	011001111
248	011010000
205	011010001000
136	011010001001
218	01101000101
22	0110100011
47	01101001
49	0110101000
197	011010100100
204	011010100101
11	01101010011
116	0110101010000
76	0110101010001
206	011010101001
216	01101010101
57	0110101011
189	0110101100
164	0110101101000
112	0110101101001
178	011010110101
217	01101011011
115	0110101110000
77	0110101110001
141	011010111001
211	01101011101
58	0110101111
198	011011000000
156	0110110000010
167	0110110000011
10	01101100001
145	01101100010
146	01101100011
42	011011001
12	01101101000
219	01101101001
231	0110110101
40	0110110110
140	011011011100
162	0110110111010
157	0110110111011
9	01101101111
243	01101110000
169	0110111000100
158	0110111000101
148	011011100011
13	01101110010
8	01101110011
246	0110111010
215	01101110110
7	01101110111
187	01101111
224	011100
61	01110100000
161	0111010000100
117	0111010000101
163	0111010000110
170	0111010000111
71	01110100010
15	01110100011
14	01110100100
182	01110100101
118	0111010011000
166	0111010011001
196	011101001101
191	01110100111
18	01110101000
6	01110101001
168	0111010101000
172	0111010101001
66	011101010101
16	01110101011
186	011101011
65	011101100000
67	011101100001
60	01110110001
185	0111011001
119	0111011010000
155	0111011010001
207	011101101001
17	01110110101
142	011101101100
160	0111011011010
154	0111011011011
37	01110110111
26	01110111
48	011110
45	011111
255	1
